Plant Type,Plant Desc,CH3 ID,CH3 Desc,Material Group Desc,PH2R,PH4,Year,Month,Units,LBS,Revenue
Metals,Chicago IL,35258,Customer 35258,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,-67.94869315,-97.4243849
Metals,Chicago IL,35258,Customer 35258,NC 610 Dia. Plugs,8 Component Sets,Plugs,2020,01,0,33.97434658,48.71219245
Metals,Chicago IL,35258,Customer 35258,NC 610 Dia. Plugs,8 Component Sets,Plugs,2020,01,234.3058385,33.97434658,48.71219245
Metals,Chicago IL,35258,Customer 35258,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,-16.03693294,-38.72274198
Metals,Chicago IL,35258,Customer 35258,NG 404 Dia Plugs,8 Component Sets,Plugs,2020,01,0,8.018466471,19.36137099
Metals,Chicago IL,35258,Customer 35258,NG 404 Dia Plugs,8 Component Sets,Plugs,2020,01,119.6786041,8.018466471,19.36137099
Metals,Chicago IL,35258,Customer 35258,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,01,0,-0.11170003,-0.315542224
Metals,Chicago IL,35258,Customer 35258,NJ 307 Dia. Plugs,8 Component Sets,Plugs,2020,01,0,0.055850015,0.157771112
Metals,Chicago IL,35258,Customer 35258,NJ 307 Dia. Plugs,8 Component Sets,Plugs,2020,01,1.139796229,0.055850015,0.157771112
Metals,Chicago IL,36333,Customer 36333,Gallon Round Comp.,1 Paint,Rings,2020,01,0,-253.0620219,-419.4628624
Metals,Chicago IL,36333,Customer 36333,Gallon Round Comp.,8 Component Sets,Rings,2020,01,0,126.531011,209.7314312
Metals,Chicago IL,36333,Customer 36333,Gallon Round Comp.,8 Component Sets,Rings,2020,01,837.953715,126.531011,209.7314312
Metals,Chicago IL,36333,Customer 36333,NL 214 Dia. Rings,1 Paint,Rings,2020,01,0,-2.932618758,-5.742533496
Metals,Chicago IL,36333,Customer 36333,NL 214 Dia. Rings,8 Component Sets,Rings,2020,01,0,1.466309379,2.871266748
Metals,Chicago IL,36333,Customer 36333,NL 214 Dia. Rings,8 Component Sets,Rings,2020,01,38.58708892,1.466309379,2.871266748
Metals,Chicago IL,36333,Customer 36333,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,-26.70401949,-30.12950061
Metals,Chicago IL,36333,Customer 36333,NC 610 Dia. Plugs,8 Component Sets,Plugs,2020,01,0,13.35200974,15.0647503
Metals,Chicago IL,36333,Customer 36333,NC 610 Dia. Plugs,8 Component Sets,Plugs,2020,01,92.08282582,13.35200974,15.0647503
Metals,Chicago IL,19649,Customer 19649,Paint Can-PT Hybrid,3 Hybrid,Pint Hybrid,2020,01,0.001218027,7.06456E-05,0
Metals,Chicago IL,19649,Customer 19649,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,0.001218027,0.000322777,0
Metals,Chicago IL,19649,Customer 19649,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,01,0.080389769,0.220830694,0
Metals,Chicago IL,19649,Customer 19649,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,01,0.001218027,0.000560292,0
Metals,Chicago IL,19649,Customer 19649,Hybrid Quart Can,3 Hybrid,Quart Hybrid,2020,01,0.001218027,0.000140073,0
Metals,Chicago IL,19649,Customer 19649,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,0.000176614,0
Metals,Chicago IL,19649,Customer 19649,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,0.000163216,0
Metals,Chicago IL,19649,Customer 19649,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,01,0,5.96833E-05,0
Metals,Chicago IL,19649,Customer 19649,ND Ears / Bails,1 Paint,Ears,2020,01,0,4.5067E-05,0
Metals,Chicago IL,19762,Customer 19762,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,01,0,1.706031669,2.243313033
Metals,Chicago IL,20144,Customer 20144,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,9.432399513,6.911951279,10.16785018
Metals,Chicago IL,20144,Customer 20144,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,7.113276492,2.040399513,3.458903776
Metals,Chicago IL,20144,Customer 20144,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,01,65.08038977,11.62916565,16.77308161
Metals,Chicago IL,20144,Customer 20144,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,01,11.6638246,25.35614068,9.821985384
Metals,Chicago IL,20144,Customer 20144,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,3.814859927,8.304902558
Metals,Chicago IL,20144,Customer 20144,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,0.293788063,1.051546894
Metals,Chicago IL,20144,Customer 20144,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,01,0,3.104009744,6.668788063
Metals,Chicago IL,20144,Customer 20144,ND Ears / Bails,1 Paint,Ears,2020,01,0,32.22898904,1.342661389
Metals,Chicago IL,20705,Customer 20705,GN 1 Gal C/H Strait,4 Metal Pail,1 Gallon Pail,2020,01,1.914738124,3.201442144,30.50291717
Metals,Chicago IL,20842,Customer 20842,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,3.946406821,1.045797808,2.002405603
Metals,Chicago IL,20842,Customer 20842,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,2.615298417,6.985554202
Metals,Chicago IL,20842,Customer 20842,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,0.269305725,0.540420219
Metals,Chicago IL,21974,Customer 21974,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,01,25.78319123,11.86026797,17.78627284
Metals,Chicago IL,21974,Customer 21974,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,3.814859927,9.015164434
Metals,Chicago IL,22768,Customer 22768,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,01,7.366626066,3.38864799,5.060797808
Metals,Chicago IL,22768,Customer 22768,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,1.112667479,2.218124239
Metals,Chicago IL,22768,Customer 22768,ND Ears / Bails,1 Paint,Ears,2020,01,0,0.292034105,0.530395859
Metals,Chicago IL,22818,Customer 22818,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,01,2.630937881,0.599853837,2.657959805
Metals,Chicago IL,23104,Customer 23104,EV 2 GaL O/H Tapered,4 Metal Pail,2 Gallon Pail,2020,01,8.574908648,13.89135201,38.23123021
Metals,Chicago IL,23104,Customer 23104,EL 6 Gal O/H Tapered,4 Metal Pail,6 Gallon Pail,2020,01,0.613885505,2.667332521,4.235133983
Metals,Chicago IL,23104,Customer 23104,GE 5 Gal C/H Strait,4 Metal Pail,5 Gallon Pail,2020,01,1.381242387,5.327451888,7.484817296
Metals,Chicago IL,23194,Customer 23194,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,1.242387333,0.878367844,3.083952497
Metals,Chicago IL,23194,Customer 23194,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,1.169305725,0.309866017,1.538605359
Metals,Chicago IL,23194,Customer 23194,EI 5 Gal O/H Tapered,4 Metal Pail,5 Gallon Pail,2020,01,2.704019488,5.23227771,5.290956151
Metals,Chicago IL,23194,Customer 23194,FH 6 Gal O/H Tpr UN,4 Metal Pail,6 Gallon Pail,2020,01,0.701583435,3.326207065,5.598495737
Metals,Chicago IL,23194,Customer 23194,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,01,0,1.832404385,3.022381242
Metals,Chicago IL,23540,Customer 23540,ND Ears / Bails,1 Paint,Ears,2020,01,0,6.577344702,0.577228989
Metals,Chicago IL,25594,Customer 25594,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,168.6333739,115.4827771,136.0745981
Metals,Chicago IL,25594,Customer 25594,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,66.73812424,17.68560292,25.84011571
Metals,Chicago IL,25594,Customer 25594,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,23.58855055,26.98908648
Metals,Chicago IL,25594,Customer 25594,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,5.018879415,7.218824604
Metals,Chicago IL,25594,Customer 25594,ND Ears / Bails,1 Paint,Ears,2020,01,0,0.248477467,0.499220463
Metals,Chicago IL,25594,Customer 25594,QA Pail Cover 11 1/4,4 Metal Pail,Cover,2020,01,0,1.420794153,2.293842875
Metals,Chicago IL,25614,Customer 25614,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,1260.202801,897.1154153,1078.492582
Metals,Chicago IL,25614,Customer 25614,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,1275.017052,337.8795189,400.873989
Metals,Chicago IL,25614,Customer 25614,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,01,19.09317905,3.397454933,7.08861754
Metals,Chicago IL,25614,Customer 25614,AW 1/2 Pt Cn 214X300,1 Paint,1/2 Pint Round,2020,01,499.4421437,88.123676,155.6501401
Metals,Chicago IL,25614,Customer 25614,FL 2 Gal O/H Tpr UN,4 Metal Pail,2 Gallon Pail,2020,01,2.489646772,6.736984166,10.58099878
Metals,Chicago IL,25614,Customer 25614,FN 5.5 Gal O/H UN,4 Metal Pail,5.5 Gallon Pail,2020,01,0.297198538,0.94954933,1.252393423
Metals,Chicago IL,25614,Customer 25614,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,01,22.00304507,65.95504689,64.12306334
Metals,Chicago IL,25614,Customer 25614,FG 5.4 Gal O/H Tp UN,4 Metal Pail,5.45 Gallon Pail,2020,01,0.1272838,0.397634592,0.38774665
Metals,Chicago IL,25614,Customer 25614,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,01,109.5493301,50.39269184,77.11177223
Metals,Chicago IL,25614,Customer 25614,Hybrid Quart Can,3 Hybrid,Quart Hybrid,2020,01,587.3154689,72.78309379,200.6269671
Metals,Chicago IL,25614,Customer 25614,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,210.6419062,230.5680268
Metals,Chicago IL,25614,Customer 25614,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,130.1111437,234.8942935
Metals,Chicago IL,25614,Customer 25614,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,01,0,0.120590134,0.153568819
Metals,Chicago IL,25614,Customer 25614,NM 214 Dia. Plugs,1 Paint,Plugs,2020,01,0,18.02508161,36.98608404
Metals,Chicago IL,25614,Customer 25614,ND Ears / Bails,1 Paint,Ears,2020,01,0,1.068908648,1.171114495
Metals,Chicago IL,25614,Customer 25614,QA Pail Cover 11 1/4,4 Metal Pail,Cover,2020,01,0,0.360652862,0.422490865
Metals,Chicago IL,25614,Customer 25614,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,01,0,17.12525822,16.78047503
Metals,Chicago IL,25614,Customer 25614,QL Pail Cover 8 1/2,4 Metal Pail,Cover,2020,01,0,2.021593179,2.755791717
Metals,Chicago IL,25636,Customer 25636,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,8.185140073,5.64774665,9.530121803
Metals,Chicago IL,25636,Customer 25636,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,5.524969549,1.464116931,2.578611449
Metals,Chicago IL,25636,Customer 25636,EV 2 GaL O/H Tapered,4 Metal Pail,2 Gallon Pail,2020,01,17.12545676,36.49434836,59.55035323
Metals,Chicago IL,25636,Customer 25636,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,01,1.870280146,7.832733252,8.201552984
Metals,Chicago IL,25636,Customer 25636,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,1.208038977,2.421242387
Metals,Chicago IL,25636,Customer 25636,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,0.244823386,0.391753959
Metals,Chicago IL,25639,Customer 25639,AA Gal Rd Cn 610x708,1 Paint,Gallon Round,2020,01,1.227771011,0.86189525,2.215207065
Metals,Chicago IL,25639,Customer 25639,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,7.161997564,5.067215591,11.97966504
Metals,Chicago IL,25639,Customer 25639,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,8.594397077,2.277515225,9.776211937
Metals,Chicago IL,25639,Customer 25639,AL 1/4 Pt Cn 208x201,1 Paint,1/4 Pint Round,2020,01,6.708891596,0.711142509,3.417576127
Metals,Chicago IL,25639,Customer 25639,EC 3 Gal O/H Tapered,4 Metal Pail,3 Gallon Pail,2020,01,0.643118149,1.295883069,1.989226553
Metals,Chicago IL,25639,Customer 25639,EI 5 Gal O/H Tapered,4 Metal Pail,5 Gallon Pail,2020,01,3.580998782,8.741218027,11.32025579
Metals,Chicago IL,25639,Customer 25639,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,01,4.274056029,17.25379415,25.2152497
Metals,Chicago IL,25639,Customer 25639,GN 1 Gal C/H Strait,4 Metal Pail,1 Gallon Pail,2020,01,1.163215591,1.944896468,15.06550548
Metals,Chicago IL,25639,Customer 25639,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,0.190742996,0.446693057
Metals,Chicago IL,25639,Customer 25639,ND Ears / Bails,1 Paint,Ears,2020,01,0,39.31790499,7.702825822
Metals,Chicago IL,25639,Customer 25639,QA Pail Cover 11 1/4,4 Metal Pail,Cover,2020,01,0,0.944813642,1.433751523
Metals,Chicago IL,25639,Customer 25639,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,01,0,4.295794762,5.745736906
Metals,Chicago IL,25639,Customer 25639,Outside Purchse Cans,1 Paint,1/4 Pint Round,2020,01,6.708891596,0.711142509,3.262332521
Metals,Chicago IL,25639,Customer 25639,Armloks,7 M.Other,Other,2020,01,0,0,11.78969549
Metals,Chicago IL,25654,Customer 25654,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,15.37637028,11.03769062,14.48138855
Metals,Chicago IL,25654,Customer 25654,AG Qt Rd Cn 404x502,1 Paint,Liter Round,2020,01,23.85383678,6.774489647,2.242880633
Metals,Chicago IL,25654,Customer 25654,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,2.64409257,3.425481121
Metals,Chicago IL,28058,Customer 28058,AA Gal Rd Cn 610x708,1 Paint,Gallon Round,2020,01,10.23142509,7.06009257,10.9648782
Metals,Chicago IL,28058,Customer 28058,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,66.81607795,51.2600341,95.82131547
Metals,Chicago IL,28058,Customer 28058,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,106.1144945,28.28486236,62.89764312
Metals,Chicago IL,28058,Customer 28058,AG Qt Rd Cn 404x502,1 Paint,Liter Round,2020,01,9.276492083,2.799045067,10.35050548
Metals,Chicago IL,28058,Customer 28058,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,01,71.98416565,12.65725335,39.04226553
Metals,Chicago IL,28058,Customer 28058,AW 1/2 Pt Cn 214X300,1 Paint,1/2 Pint Round,2020,01,22.98416565,2.781084044,11.92999391
Metals,Chicago IL,28058,Customer 28058,GN 1 Gal C/H Strait,4 Metal Pail,1 Gallon Pail,2020,01,1.278928136,2.138367844,12.61534714
Metals,Chicago IL,28058,Customer 28058,GB 3.5 Gal C/H Strat,4 Metal Pail,3.5 Gallon Pail,2020,01,0.602923264,2.56001218,3.593002436
Metals,Chicago IL,28058,Customer 28058,GQ 7 Gal C/H Strait,4 Metal Pail,7 Gallon Pail,2020,01,1.293544458,7.753505481,8.900621194
Metals,Chicago IL,28058,Customer 28058,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,01,6.548112058,14.23502619,5.473562728
Metals,Chicago IL,28058,Customer 28058,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,6.135566382,14.13647381
Metals,Chicago IL,28058,Customer 28058,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,4.651644336,13.15527406
Metals,Chicago IL,28058,Customer 28058,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,01,0,1.197485993,4.78727771
Metals,Chicago IL,28058,Customer 28058,NM 214 Dia. Plugs,1 Paint,Plugs,2020,01,0,0.818002436,4.123087698
Metals,Chicago IL,28058,Customer 28058,ND Ears / Bails,1 Paint,Ears,2020,01,0,1.118148599,2.163532278
Metals,Chicago IL,28058,Customer 28058,QB Pail Covers Dish,4 Metal Pail,Cover,2020,01,0,3.05701827,3.244640682
Metals,Chicago IL,28058,Customer 28058,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,01,0,1.516472594,1.577192448
Metals,Chicago IL,28058,Customer 28058,Armloks,7 M.Other,Other,2020,01,0,0,23.36211328
Metals,Chicago IL,28059,Customer 28059,AA Gal Rd Cn 610x708,1 Paint,Gallon Round,2020,01,22.21437272,15.69001462,25.96741778
Metals,Chicago IL,28059,Customer 28059,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,6.715590743,5.014202192,10.04098051
Metals,Chicago IL,28059,Customer 28059,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,8.769792935,2.323995128,7.651942753
Metals,Chicago IL,28059,Customer 28059,AW 1/2 Pt Cn 214X300,1 Paint,1/2 Pint Round,2020,01,2.771010962,0.335292326,1.145481121
Metals,Chicago IL,28059,Customer 28059,FH 6 Gal O/H Tpr UN,4 Metal Pail,6 Gallon Pail,2020,01,1.730207065,5.251178441,6.40955542
Metals,Chicago IL,28059,Customer 28059,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,01,8.594397077,18.68347199,7.650042631
Metals,Chicago IL,28059,Customer 28059,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,1.907429963,3.773684531
