Plant_Type,City,State,Customer_ID,Material_Group,PH2R,PH4,Year,Month,Units,LBS,Revenue,Rev/Units,Rev/LBS
Metals,Chicago,IL,35258,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,-67.94869315,-97.4243849,-inf,1.4337933576578288
Metals,Chicago,IL,35258,NC 610 Dia. Plugs,8 Component Sets,Plugs,2020,1,0.0,33.97434658,48.71219245,inf,1.4337933574468174
Metals,Chicago,IL,35258,NC 610 Dia. Plugs,8 Component Sets,Plugs,2020,1,234.3058385,33.97434658,48.71219245,0.20790003681449024,1.4337933574468174
Metals,Chicago,IL,35258,NG 404 Dia Plugs,1 Paint,Plugs,2020,1,0.0,-16.03693294,-38.72274198,-inf,2.414597736666722
Metals,Chicago,IL,35258,NG 404 Dia Plugs,8 Component Sets,Plugs,2020,1,0.0,8.018466471,19.36137099,inf,2.4145977363655926
Metals,Chicago,IL,35258,NG 404 Dia Plugs,8 Component Sets,Plugs,2020,1,119.6786041,8.018466471,19.36137099,0.16177804826184466,2.4145977363655926
Metals,Chicago,IL,35258,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,-0.11170003,-0.315542224,-inf,2.8249072448771946
Metals,Chicago,IL,35258,NJ 307 Dia. Plugs,8 Component Sets,Plugs,2020,1,0.0,0.055850015,0.157771112,inf,2.8249072448771946
Metals,Chicago,IL,35258,NJ 307 Dia. Plugs,8 Component Sets,Plugs,2020,1,1.139796229,0.055850015,0.157771112,0.1384204544512491,2.8249072448771946
Metals,Chicago,IL,36333,Gallon Round Comp.,1 Paint,Rings,2020,1,0.0,-253.0620219,-419.4628624,-inf,1.6575496364513953
Metals,Chicago,IL,36333,Gallon Round Comp.,8 Component Sets,Rings,2020,1,0.0,126.531011,209.7314312,inf,1.6575496357963977
Metals,Chicago,IL,36333,Gallon Round Comp.,8 Component Sets,Rings,2020,1,837.953715,126.531011,209.7314312,0.2502899950744893,1.6575496357963977
Metals,Chicago,IL,36333,NL 214 Dia. Rings,1 Paint,Rings,2020,1,0.0,-2.932618758,-5.742533496,-inf,1.958158891378134
Metals,Chicago,IL,36333,NL 214 Dia. Rings,8 Component Sets,Rings,2020,1,0.0,1.466309379,2.871266748,inf,1.958158891378134
Metals,Chicago,IL,36333,NL 214 Dia. Rings,8 Component Sets,Rings,2020,1,38.58708892,1.466309379,2.871266748,0.07441003787439895,1.958158891378134
Metals,Chicago,IL,36333,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,-26.70401949,-30.12950061,-inf,1.1282758620395241
Metals,Chicago,IL,36333,NC 610 Dia. Plugs,8 Component Sets,Plugs,2020,1,0.0,13.35200974,15.0647503,inf,1.1282758620875601
Metals,Chicago,IL,36333,NC 610 Dia. Plugs,8 Component Sets,Plugs,2020,1,92.08282582,13.35200974,15.0647503,0.16359999995491017,1.1282758620875601
Metals,Chicago,IL,19649,Paint Can-PT Hybrid,3 Hybrid,Pint Hybrid,2020,1,0.001218027,7.06456e-05,0.0,0.0,0.0
Metals,Chicago,IL,19649,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,0.001218027,0.000322777,0.0,0.0,0.0
Metals,Chicago,IL,19649,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,1,0.080389769,0.220830694,0.0,0.0,0.0
Metals,Chicago,IL,19649,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,1,0.001218027,0.000560292,0.0,0.0,0.0
Metals,Chicago,IL,19649,Hybrid Quart Can,3 Hybrid,Quart Hybrid,2020,1,0.001218027,0.000140073,0.0,0.0,0.0
Metals,Chicago,IL,19649,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,0.000176614,0.0,nan,0.0
Metals,Chicago,IL,19649,NG 404 Dia Plugs,1 Paint,Plugs,2020,1,0.0,0.000163216,0.0,nan,0.0
Metals,Chicago,IL,19649,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,5.96833e-05,0.0,nan,0.0
Metals,Chicago,IL,19649,ND Ears / Bails,1 Paint,Ears,2020,1,0.0,4.5067e-05,0.0,nan,0.0
Metals,Chicago,IL,19762,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,1,0.0,1.706031669,2.243313033,inf,1.3149304750684556
Metals,Chicago,IL,20144,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,9.432399513,6.911951279,10.16785018,1.077970686672716,1.4710535085645242
Metals,Chicago,IL,20144,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,7.113276492,2.040399513,3.458903776,0.48626027399470306,1.6952090774195356
Metals,Chicago,IL,20144,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,1,65.08038977,11.62916565,16.77308161,0.2577286594207194,1.44232889227096
Metals,Chicago,IL,20144,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,1,11.6638246,25.35614068,9.821985384,0.8420895993240501,0.38736121194292095
Metals,Chicago,IL,20144,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,3.814859927,8.304902558,inf,2.1769875478838254
Metals,Chicago,IL,20144,NG 404 Dia Plugs,1 Paint,Plugs,2020,1,0.0,0.293788063,1.051546894,inf,3.579270319093938
Metals,Chicago,IL,20144,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,3.104009744,6.668788063,inf,2.148443018225268
Metals,Chicago,IL,20144,ND Ears / Bails,1 Paint,Ears,2020,1,0.0,32.22898904,1.342661389,inf,0.0416600529211015
Metals,Chicago,IL,20705,GN 1 Gal C/H Strait,4 Metal Pail,1 Gallon Pail,2020,1,1.914738124,3.201442144,30.50291717,15.930594783519336,9.527867691492474
Metals,Chicago,IL,20842,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,3.946406821,1.045797808,2.002405603,0.5073996913710483,1.9147158156980952
Metals,Chicago,IL,20842,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,2.615298417,6.985554202,inf,2.671035227411297
Metals,Chicago,IL,20842,NG 404 Dia Plugs,1 Paint,Plugs,2020,1,0.0,0.269305725,0.540420219,inf,2.006716414959244
Metals,Chicago,IL,21974,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,1,25.78319123,11.86026797,17.78627284,0.6898398526907252,1.4996518531444276
Metals,Chicago,IL,21974,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,3.814859927,9.015164434,inf,2.363170498133994
Metals,Chicago,IL,22768,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,1,7.366626066,3.38864799,5.060797808,0.686989914060883,1.4934563350736234
